Name,Team,PA,BB%,K%,BB/K,Barrel%,HardHit%,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,R,H,BB,HR,RBI,SB,qual_periods
Dylan Moore,SEA,-5,3.8000000000000007,12,-0.08000000000000002,20.1,-2.6000000000000014,0.11099999999999999,0.05299999999999999,0.30600000000000005,0.359,0.195,-3.8999999999999995,0.208,-0.09999999999999998,0,-0.8999999999999999,4,4.6,0.128,90,-4,4,1,1,3,-5,2
Rowdy Tellez,MIL,0,-4.799999999999999,3.200000000000001,-0.5,19.1,16.300000000000004,-0.06799999999999998,-0.09499999999999995,0.133,0.03700000000000003,0.20099999999999996,0.6000000000000001,-0.171,0,0,0.1,0,-0.6,-0.010999999999999954,-7,4,-3,-3,5,9,0,2
Brandon Nimmo,NYM,-4,3.000000000000001,3.6999999999999993,0.09000000000000002,14.2,11.5,-0.038000000000000006,-0.035999999999999976,0.07399999999999995,0.039000000000000035,0.11200000000000002,-1.2999999999999998,-0.07199999999999995,0,0,0,0,0.4999999999999998,0.01100000000000001,7,3,-3,2,3,3,0,2
Riley Greene,DET,49,-4,10.8,-0.72,14,26.2,-0.034,-0.05800000000000005,0.08199999999999996,0.02400000000000002,0.116,3.1999999999999997,-0.00599999999999995,0.2,-0.1,-1.1,6,0.10000000000000003,-0.006000000000000005,-3,5,10,5,1,6,1,2
Yadiel Hernandez,WSN,11,-3.4999999999999996,1.1999999999999993,-0.16,13.8,1.8000000000000043,-0.015000000000000013,-0.02899999999999997,0.20599999999999996,0.17700000000000005,0.221,-0.6,-0.06499999999999995,-0.20000000000000007,-0.09999999999999998,0,3,1.7999999999999998,0.056999999999999995,39,1,2,-1,2,6,0,2
Yordan Alvarez,HOU,-20,10.9,7.600000000000001,0.2500000000000001,13.1,4.899999999999999,-0.09199999999999997,-0.007000000000000006,-0.04800000000000004,-0.05600000000000005,0.04300000000000004,0,-0.07999999999999996,0,0,0.5,-6,-3.999999999999999,-0.03300000000000003,-24,-2,-11,3,-2,-14,0,2
Aaron Hicks,NYY,-10,4.699999999999999,0.5999999999999979,0.18999999999999995,13.099999999999998,2,0.017000000000000015,0.03600000000000003,0.192,0.22799999999999987,0.175,2.500000000000001,-0.0040000000000000036,0,0,0.5,1,2.8,0.08500000000000008,60,4,-2,1,1,-2,0,2
George Springer,TOR,6,0.5,-13.399999999999999,0.6700000000000002,13,4.5,0.017000000000000015,0.02799999999999997,0.12000000000000005,0.14800000000000002,0.10300000000000001,0.6000000000000005,-0.05100000000000002,0,0,0,4,3,0.05599999999999994,40,4,2,1,2,2,0,2
Joey Votto,CIN,-22,-0.8000000000000007,8,-0.19000000000000006,11.7,-1.1000000000000014,-0.034,-0.046999999999999986,0.04600000000000004,-0.0020000000000000018,0.079,0.4999999999999999,-0.018000000000000016,0.2,0,0.1,-3,-0.7000000000000001,-0.008999999999999952,-7,-1,-6,-3,0,0,0,2
Kyle Schwarber,PHI,-18,-8.9,8,-0.43999999999999995,11.7,3.6000000000000014,-0.057999999999999996,-0.119,0.03399999999999992,-0.08499999999999996,0.09100000000000003,-2.6,-0.137,0,0,-0.7,-6,-4,-0.04800000000000004,-32,-6,-6,-9,2,0,-2,2
Christopher Morel,CHC,-13,7.4,-1.5,0.19999999999999998,11.5,8.600000000000001,0.04600000000000001,0.10099999999999998,0.19099999999999995,0.29100000000000004,0.14499999999999996,-0.7000000000000002,0.06500000000000006,-0.10000000000000003,0,-0.2,5,6,0.119,81,2,-1,4,1,3,-1,2
Jackie Bradley Jr.,BOS,-22,2.7,5.600000000000001,0.07000000000000003,11.2,-8.7,-0.057999999999999996,-0.032,0.01100000000000001,-0.02200000000000002,0.06899999999999999,-0.7999999999999998,-0.05600000000000002,0,-0.1,-0.2,-1,1.8000000000000003,-0.010000000000000009,-7,2,-6,0,0,1,-1,2
Adam Duvall,ATL,-31,-10.9,-5.599999999999998,-0.3,11,1.6999999999999957,0.065,0.021999999999999964,0.2029999999999999,0.22499999999999998,0.138,2.5000000000000004,0.07100000000000001,-0.2,-0.1,-0.8,-2,1.9000000000000001,0.08500000000000002,58,-5,-3,-7,-2,-2,0,2
